"Time","TF.insideEnvironment.insideHumidity","TF.insideEnvironment.insideLight","TF.insideEnvironment.insideTemperature"
2022-02-28 06:00:01,29,0.14,25
2022-02-28 06:00:01,29,,
2022-02-28 06:00:05,29,,
2022-02-28 06:00:06,29,,
2022-02-28 06:00:11,29,,
2022-02-28 06:00:11,29,,
2022-02-28 06:00:16,29,,
2022-02-28 06:00:16,29,,
2022-02-28 06:00:21,29,,
2022-02-28 06:00:21,29,,
2022-02-28 06:00:25,29,,
2022-02-28 06:00:25,29,,
2022-02-28 06:00:31,29,,
2022-02-28 06:00:31,29,,
2022-02-28 06:00:36,29,,
2022-02-28 06:00:36,29,,
2022-02-28 06:00:40,29,,
2022-02-28 06:00:40,29,,
2022-02-28 06:00:45,29,,
2022-02-28 06:00:45,29,,
2022-02-28 06:00:51,29,,
2022-02-28 06:00:51,29,,
2022-02-28 06:00:56,29,,
2022-02-28 06:00:56,29,,
2022-02-28 06:01:01,29,,
2022-02-28 06:01:01,29,,
2022-02-28 06:01:06,29,,
2022-02-28 06:01:06,29,,
2022-02-28 06:01:11,29,,
2022-02-28 06:01:11,29,,
2022-02-28 06:01:16,29,,
2022-02-28 06:01:16,29,,
2022-02-28 06:01:21,29,,
2022-02-28 06:01:21,29,,
2022-02-28 06:01:26,29,,
2022-02-28 06:01:26,29,,
2022-02-28 06:01:30,29,,
2022-02-28 06:01:31,29,,
2022-02-28 06:01:36,29,,
2022-02-28 06:01:36,29,,
2022-02-28 06:01:41,29,,
2022-02-28 06:01:41,29,,
2022-02-28 06:01:46,29,,
2022-02-28 06:01:46,29,,
2022-02-28 06:01:51,29,,
2022-02-28 06:01:51,29,,
2022-02-28 06:01:56,29,,
2022-02-28 06:01:56,29,,
2022-02-28 06:02:01,29,,
2022-02-28 06:02:01,29,,
2022-02-28 06:02:06,29,,
2022-02-28 06:02:06,29,,
2022-02-28 06:02:11,29,,
2022-02-28 06:02:11,29,,
2022-02-28 06:02:16,29,,
2022-02-28 06:02:16,29,,
2022-02-28 06:02:21,29,,
2022-02-28 06:02:21,29,,
2022-02-28 06:02:26,29,,
2022-02-28 06:02:26,29,,
2022-02-28 06:02:31,29,,
2022-02-28 06:02:31,29,,
2022-02-28 06:02:36,29,,
2022-02-28 06:02:36,29,,
2022-02-28 06:02:41,29,,
2022-02-28 06:02:41,29,,
2022-02-28 06:02:46,29,,
2022-02-28 06:02:46,29,,
2022-02-28 06:02:51,29,,
2022-02-28 06:02:51,29,,
2022-02-28 06:02:56,29,,
2022-02-28 06:02:56,29,,
2022-02-28 06:03:01,29,,
2022-02-28 06:03:01,29,,
2022-02-28 06:03:06,29,,
2022-02-28 06:03:06,29,,
2022-02-28 06:03:11,29,,
2022-02-28 06:03:11,29,,
2022-02-28 06:03:16,29,,
2022-02-28 06:03:16,29,,
2022-02-28 06:03:21,29,,
2022-02-28 06:03:21,29,,
2022-02-28 06:03:26,29,,
2022-02-28 06:03:26,29,,
2022-02-28 06:03:30,29,,
2022-02-28 06:03:31,29,,
2022-02-28 06:03:36,29,,
2022-02-28 06:03:36,29,,
2022-02-28 06:03:41,29,,
2022-02-28 06:03:41,29,,
2022-02-28 06:03:46,29,,
2022-02-28 06:03:46,29,,
2022-02-28 06:03:51,29,,
2022-02-28 06:03:51,29,,
2022-02-28 06:03:56,29,,
2022-02-28 06:03:56,29,,
2022-02-28 06:04:01,29,,
2022-02-28 06:04:01,29,,
2022-02-28 06:04:06,29,,
2022-02-28 06:04:06,29,,
2022-02-28 06:04:10,29,,
2022-02-28 06:04:11,29,,
2022-02-28 06:04:16,29,,
2022-02-28 06:04:16,29,,
2022-02-28 06:04:21,29,,
2022-02-28 06:04:21,29,,
2022-02-28 06:04:26,29,,
2022-02-28 06:04:26,29,,
2022-02-28 06:04:31,29,,
2022-02-28 06:04:31,29,,
2022-02-28 06:04:36,29,,
2022-02-28 06:04:36,29,,
2022-02-28 06:04:41,29,,
2022-02-28 06:04:41,29,,
2022-02-28 06:04:46,29,,
2022-02-28 06:04:47,29,,
2022-02-28 06:04:51,29,,
2022-02-28 06:04:51,29,,
2022-02-28 06:04:56,29,,
2022-02-28 06:04:56,29,,
2022-02-28 06:05:01,29,,
2022-02-28 06:05:01,29,,
2022-02-28 06:05:06,29,,
2022-02-28 06:05:06,29,,
2022-02-28 06:05:11,29,,
2022-02-28 06:05:11,29,,
2022-02-28 06:05:16,29,,
2022-02-28 06:05:17,29,,
2022-02-28 06:05:21,29,,
2022-02-28 06:05:21,29,,
2022-02-28 06:05:26,29,,
2022-02-28 06:05:27,29,,
2022-02-28 06:05:31,29,,
2022-02-28 06:05:32,29,,
2022-02-28 06:05:36,29,,
2022-02-28 06:05:37,29,,
2022-02-28 06:05:41,29,,
2022-02-28 06:05:42,29,,
2022-02-28 06:05:47,29,,
2022-02-28 06:05:47,29,,
2022-02-28 06:05:51,29,,
2022-02-28 06:05:52,29,,
2022-02-28 06:05:57,29,,
2022-02-28 06:05:57,29,,
2022-02-28 06:06:02,29,,
2022-02-28 06:06:02,29,,
2022-02-28 06:06:06,29,,
2022-02-28 06:06:06,29,,
2022-02-28 06:06:11,29,,
2022-02-28 06:06:11,29,,
2022-02-28 06:06:16,29,,
2022-02-28 06:06:16,29,,
2022-02-28 06:06:21,29,,
2022-02-28 06:06:21,29,,
2022-02-28 06:06:27,29,,
2022-02-28 06:06:27,29,,
2022-02-28 06:06:31,29,,
2022-02-28 06:06:32,29,,
2022-02-28 06:06:36,29,,
2022-02-28 06:06:36,29,,
2022-02-28 06:06:41,29,,
2022-02-28 06:06:41,29,,
2022-02-28 06:06:46,29,,
2022-02-28 06:06:47,29,,
2022-02-28 06:06:52,29,,
